g c0 c1 c2 c3
0 1000.0 300.0 330.0 100.0
1 1985.1 110.0 87.0 108.9
2 648.261 218.361 31.9 28.709999999999997
3 767.4028999999999 71.30870999999999 63.324690000000004 10.527
4 418.7709273 84.41431899999999 20.679525899999998 20.897147699999998
5 326.94694170599996 46.064802003 24.48015251 6.824243546999999
6 218.45794444902998 35.96416358766 13.358792580869999 8.078450328299999
7 153.39045887237486 24.0303738893933 10.4296074404214 4.4084015516871
8 106.8722538594737 16.872950475961236 6.968808427924056 3.441770455339062
9 74.05226462198519 11.755947924542106 4.89315563802876 2.2997067812149385
10 51.676032790851316 8.145749108418372 3.409224898117211 1.6147413605494902
11 35.874239382900974 5.684363606993644 2.3622672414413284 1.1250442163786796
12 24.98024522073763 3.946166332119107 1.6484654460281567 0.779548189675638
13 17.368158254240075 2.7478269742811383 1.1443882363145412 0.5439935971892917
14 12.083349134864337 1.910497407966408 0.7968698225415303 0.3776481179837985
15 8.404852327369559 1.3291684048350767 0.5540442483102586 0.2629670414387049
16 5.846382627809845 0.9245337560106512 0.38545883740217235 0.18283460194238527
17 4.066811277354371 0.6431020890590828 0.26811478924308896 0.12720141634271687
18 2.8288387014515006 0.4473492405089807 0.18649960582713404 0.08847788045021932
19 1.967757845374543 0.31117225715966496 0.12973127974760443 0.061544869922954236
20 1.3687674275488533 0.21645336299119966 0.09023995457630286 0.042811322316709456
21 0.952117160683996 0.15056441703037382 0.06277147526744792 0.029779185010179943
22 0.0 0.0 0.0 0.0
23 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0
27 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0
30 0.0 0.0 0.0 0.0
31 0.0 0.0 0.0 0.0
32 0.0 0.0 0.0 0.0
33 0.0 0.0 0.0 0.0
34 0.0 0.0 0.0 0.0
35 0.0 0.0 0.0 0.0
36 0.0 0.0 0.0 0.0
37 0.0 0.0 0.0 0.0
38 0.0 0.0 0.0 0.0
39 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0
41 0.0 0.0 0.0 0.0
42 0.0 0.0 0.0 0.0
43 0.0 0.0 0.0 0.0
44 0.0 0.0 0.0 0.0
45 0.0 0.0 0.0 0.0
46 0.0 0.0 0.0 0.0
47 0.0 0.0 0.0 0.0
48 0.0 0.0 0.0 0.0
49 0.0 0.0 0.0 0.0
50 0.0 0.0 0.0 0.0
51 0.0 0.0 0.0 0.0
52 0.0 0.0 0.0 0.0
53 0.0 0.0 0.0 0.0
54 0.0 0.0 0.0 0.0
55 0.0 0.0 0.0 0.0
56 0.0 0.0 0.0 0.0
57 0.0 0.0 0.0 0.0
58 0.0 0.0 0.0 0.0
59 0.0 0.0 0.0 0.0
60 0.0 0.0 0.0 0.0
61 0.0 0.0 0.0 0.0
62 0.0 0.0 0.0 0.0
63 0.0 0.0 0.0 0.0
64 0.0 0.0 0.0 0.0
65 0.0 0.0 0.0 0.0
66 0.0 0.0 0.0 0.0
67 0.0 0.0 0.0 0.0
68 0.0 0.0 0.0 0.0
69 0.0 0.0 0.0 0.0
70 0.0 0.0 0.0 0.0
71 0.0 0.0 0.0 0.0
72 0.0 0.0 0.0 0.0
73 0.0 0.0 0.0 0.0
74 0.0 0.0 0.0 0.0
75 0.0 0.0 0.0 0.0
76 0.0 0.0 0.0 0.0
77 0.0 0.0 0.0 0.0
78 0.0 0.0 0.0 0.0
79 0.0 0.0 0.0 0.0
80 0.0 0.0 0.0 0.0
81 0.0 0.0 0.0 0.0
82 0.0 0.0 0.0 0.0
83 0.0 0.0 0.0 0.0
84 0.0 0.0 0.0 0.0
85 0.0 0.0 0.0 0.0
86 0.0 0.0 0.0 0.0
87 0.0 0.0 0.0 0.0
88 0.0 0.0 0.0 0.0
89 0.0 0.0 0.0 0.0
90 0.0 0.0 0.0 0.0
91 0.0 0.0 0.0 0.0
92 0.0 0.0 0.0 0.0
93 0.0 0.0 0.0 0.0
94 0.0 0.0 0.0 0.0
95 0.0 0.0 0.0 0.0
96 0.0 0.0 0.0 0.0
97 0.0 0.0 0.0 0.0
98 0.0 0.0 0.0 0.0
99 0.0 0.0 0.0 0.0
100 0.0 0.0 0.0 0.0
