g c0 c1 c2 c3
0 57.80346820809249 17.341040462427745 19.07514450867052 5.780346820809249
1 86.64775207333042 4.801396769969446 3.79746835443038 4.753382802269752
2 69.9135707136941 23.54976963694092 3.440347183876311 3.09631246548868
3 84.09311441737795 7.814111086869261 6.939210682700038 1.1535638130527492
4 76.87228346960674 15.495635050169371 3.7960667118208384 3.836014768403051
5 80.86418264064902 11.393263209739844 6.054705736992843 1.6878484126182955
6 79.19178512527726 13.037137753114742 4.84261002393636 2.9284670976716214
7 79.78330539863556 12.498969446698416 5.424773885704063 2.2929512689619695
8 79.66280043645432 12.57713239872432 5.1945643048154295 2.565502860005936
9 79.62517062221065 12.64065810945613 5.26139686001445 2.472774408318769
10 79.69070333646347 12.56173201761637 5.257437835112649 2.4901268108075088
11 79.63927433317102 12.619043650654618 5.244132060374182 2.497549955800171
12 79.67055709205448 12.585675892278331 5.257520863847918 2.4862461518192696
13 79.65449400495936 12.602186371494417 5.248435935146369 2.494883688399846
14 79.66151623085757 12.595276241303116 5.253498644602842 2.4897088832364473
15 79.6590542980206 12.597520338005491 5.251090577276756 2.492334786697147
16 79.65956511226405 12.597183869747214 5.252048199869317 2.4912028181194215
17 79.6597140246088 12.596927914590086 5.2517675348748805 2.491590525926212
18 79.659445852829 12.597251509371816 5.251785916368283 2.4915167214309126
19 79.65965771555446 12.597015203970527 5.25183998833351 2.4914870921415067
20 79.65952851655567 12.597153098959488 5.251784992996641 2.4915333914881996
21 79.65959504937405 12.597084670617953 5.251822471999637 2.4914978080083654
22 0.0 0.0 0.0 0.0
23 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0
27 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0
30 0.0 0.0 0.0 0.0
31 0.0 0.0 0.0 0.0
32 0.0 0.0 0.0 0.0
33 0.0 0.0 0.0 0.0
34 0.0 0.0 0.0 0.0
35 0.0 0.0 0.0 0.0
36 0.0 0.0 0.0 0.0
37 0.0 0.0 0.0 0.0
38 0.0 0.0 0.0 0.0
39 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0
41 0.0 0.0 0.0 0.0
42 0.0 0.0 0.0 0.0
43 0.0 0.0 0.0 0.0
44 0.0 0.0 0.0 0.0
45 0.0 0.0 0.0 0.0
46 0.0 0.0 0.0 0.0
47 0.0 0.0 0.0 0.0
48 0.0 0.0 0.0 0.0
49 0.0 0.0 0.0 0.0
50 0.0 0.0 0.0 0.0
51 0.0 0.0 0.0 0.0
52 0.0 0.0 0.0 0.0
53 0.0 0.0 0.0 0.0
54 0.0 0.0 0.0 0.0
55 0.0 0.0 0.0 0.0
56 0.0 0.0 0.0 0.0
57 0.0 0.0 0.0 0.0
58 0.0 0.0 0.0 0.0
59 0.0 0.0 0.0 0.0
60 0.0 0.0 0.0 0.0
61 0.0 0.0 0.0 0.0
62 0.0 0.0 0.0 0.0
63 0.0 0.0 0.0 0.0
64 0.0 0.0 0.0 0.0
65 0.0 0.0 0.0 0.0
66 0.0 0.0 0.0 0.0
67 0.0 0.0 0.0 0.0
68 0.0 0.0 0.0 0.0
69 0.0 0.0 0.0 0.0
70 0.0 0.0 0.0 0.0
71 0.0 0.0 0.0 0.0
72 0.0 0.0 0.0 0.0
73 0.0 0.0 0.0 0.0
74 0.0 0.0 0.0 0.0
75 0.0 0.0 0.0 0.0
76 0.0 0.0 0.0 0.0
77 0.0 0.0 0.0 0.0
78 0.0 0.0 0.0 0.0
79 0.0 0.0 0.0 0.0
80 0.0 0.0 0.0 0.0
81 0.0 0.0 0.0 0.0
82 0.0 0.0 0.0 0.0
83 0.0 0.0 0.0 0.0
84 0.0 0.0 0.0 0.0
85 0.0 0.0 0.0 0.0
86 0.0 0.0 0.0 0.0
87 0.0 0.0 0.0 0.0
88 0.0 0.0 0.0 0.0
89 0.0 0.0 0.0 0.0
90 0.0 0.0 0.0 0.0
91 0.0 0.0 0.0 0.0
92 0.0 0.0 0.0 0.0
93 0.0 0.0 0.0 0.0
94 0.0 0.0 0.0 0.0
95 0.0 0.0 0.0 0.0
96 0.0 0.0 0.0 0.0
97 0.0 0.0 0.0 0.0
98 0.0 0.0 0.0 0.0
99 0.0 0.0 0.0 0.0
100 0.0 0.0 0.0 0.0
