g c0 c1 c2
0 123.0 456.0 54.0
1 66018.24 97.04700000000001 218.88
2 3.010684559238E7 52088.39136 46.58256
3 1.3729843667240295E10 2.3754301172387816E7 25002.427852800003
4 6.261320429913684E12 1.0832846653452593E10 1.1402064562746152E7
5 2.855395478361684E15 4.940181819201896E12 5.199766393657245E9
6 1.30216676004884608E18 2.2529070324273685E15 2.37128727321691E12
7 5.93836574942327E20 1.02740957367853952E18 1.081395375565137E15
8 2.7081161073870888E23 4.685370576294959E20 4.9315659536569907E17
9 1.2350018777138579E26 2.1367036087284127E23 2.2489778766215804E20
10 5.63206885331207E28 9.744164815162335E25 1.0256177321896384E23
11 2.568433306932777E31 4.443702325263222E28 4.677199111277923E25
12 1.1713013146638308E34 2.0264938791699604E31 2.132977116126347E28
13 5.341570544308182E36 9.241567372697621E33 9.727170620015814E30
14 2.4359552510200805E39 4.214499159459155E36 4.43595233889486E33
15 1.1108863836489563E42 1.9219686930548432E39 2.0229595965403955E36
16 5.0660559419549175E44 8.764893566990261E41 9.22544972666325E38
17 2.3103103237897743E47 3.997118138202427E44 4.207148912155327E41
18 1.0535876139871318E50 1.8228348454701312E47 1.918616706337166E44
19 4.80475219677937E52 8.312806274358466E49 8.749607258256634E46
20 2.191146077077757E55 3.790949483258921E52 3.9901470116920655E49
