g c0 c1 c2
0 19.431279620853083 72.03791469194313 8.530805687203792
1 99.52373412633642 0.14630017137322307 0.3299657022903445
2 99.82713283757921 0.17271270574113565 1.5445667965332987E-4
3 99.82710516603039 0.1727130460297626 1.817879398454385E-4
4 99.82710516586148 0.17271304579037022 1.8178834815340923E-4
5 99.82710516586172 0.17271304579038707 1.8178834790176317E-4
6 99.82710516586172 0.1727130457903871 1.817883479017805E-4
7 99.82710516586172 0.17271304579038704 1.8178834790178047E-4
8 99.82710516586172 0.17271304579038704 1.8178834790178047E-4
9 99.82710516586171 0.17271304579038704 1.817883479017804E-4
10 99.82710516586172 0.172713045790387 1.8178834790178047E-4
11 99.82710516586172 0.17271304579038704 1.817883479017805E-4
12 99.8271051658617 0.17271304579038696 1.817883479017804E-4
13 99.82710516586171 0.17271304579038704 1.8178834790178052E-4
14 99.82710516586171 0.172713045790387 1.8178834790178047E-4
15 99.82710516586172 0.17271304579038704 1.817883479017805E-4
16 99.82710516586171 0.17271304579038693 1.817883479017804E-4
17 99.82710516586172 0.172713045790387 1.8178834790178047E-4
18 99.82710516586171 0.172713045790387 1.8178834790178044E-4
19 99.82710516586171 0.17271304579038696 1.8178834790178047E-4
20 99.82710516586171 0.17271304579038696 1.817883479017804E-4
